zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
BAGALKOTE TRANSFORMER,100,99,1,16.420289855072465,66.0,,,,thermal,,,,58,0.11126596381503905
BANGALORE,8262,3669,4586,,86.29437418229394,,,,thermal,,,,134,0.21615884588128184
BEL,8,0,8,,66.0,3.641231585,13.0542981,77.5612223,thermal,,,,2,0.0
BENGALORE,1265,544,721,,90.99029126213593,,,,hydro,,,,55,0.10473118478630647
BENGALURU,2387,928,1459,,88.97601096641536,,,,thermal,,,,82,0.1654876685480198
BENGALURU LINE,659,0,659,,77.49013657056146,,,,thermal,,,,43,0.0559495187629972
BENGALURU TRANSFORMER,423,419,1,,220.0,,,,thermal,,,,16,0.025078155855505352
BG Road,43,0,43,,66.0,8.111351265,12.8219092,77.5846895,thermal,,,,4,0.0
BIAL Begur Substation,1,0,1,,66.0,0.190902919,13.1819909,77.6779672,thermal,,,,1,0.0
Babaleshwar,95,3,92,20.0,110.0,25.21716351,16.6373344,75.5658622,thermal,,,,3,0.0
Badami,14,0,14,,110.0,98.584471,15.92714,75.6763107,thermal,,,,3,0.0
Bagalkot,171,42,128,15.789473684210526,182.1875,69.82441481,16.1865748,75.6690572,thermal,,,,4,0.0
Bagmane WTC,23,0,23,,66.0,1.268295319,12.9846414,77.6938533,thermal,,,,4,0.0
Bailahongala,14,13,1,14.615384615384615,110.0,36.35894846,15.8024227,74.8426934,thermal,,,,2,0.0
Bajpe,2,0,2,,165.0,8.674028366,12.9769947,74.8667217,thermal,,,,2,0.010664781276216704
Balenahalli,21,4,17,12.5,120.3529411764706,146.7480842,14.266331399999999,76.5549886,thermal,,,,2,0.0
Balligavi,12,0,12,,201.66666666666666,51.72882586,14.395973,75.2601968,thermal,,,,4,0.005902613159794681
Banashankari,3,0,3,,66.0,4.112289559,12.9346528,77.5387548,thermal,,,,2,0.0
Banavara,17,0,17,,116.47058823529412,83.78137322,13.4076786,76.1613578,thermal,,,,1,0.0
Bandihalli,51,4,47,100.0,138.08510638297872,46.58056809,13.2733736,76.4959868,thermal,,,,5,0.014368807319485399
Bangarapete,32,0,32,,66.0,40.10824704,12.9871028,78.1672492,thermal,,,,4,0.0
Bannur,26,0,26,,66.0,70.53285926,12.3265286,76.8609844,thermal,,,,1,0.0
Bargur,27,0,27,,71.70370370370371,21.13407508,12.5468292,78.3363207,thermal,,,,6,0.031216220340734492
Basavanakatti,34,13,21,11.538461538461538,110.0,77.23172205,14.8403238,75.524133,thermal,,,,3,0.0
Beguru,95,2,93,,78.65591397849462,94.60232262,11.931674499999998,76.6677906,thermal,,,,2,0.0
Belavanki,1,0,1,,110.0,116.129659,15.6692738,75.5805004,thermal,,,,1,0.0
Belgaum,118,15,103,20.0,165.53398058252426,2.535933079,15.9059253,74.5298502,thermal,,,,3,0.0
Bellary North,18,4,14,,117.85714285714286,184.4837171,15.1595252,76.9452893,thermal,,,,4,0.0
Bellubbi,2,0,2,,110.0,39.53207467,16.4760554,75.5971153,thermal,,,,1,0.0
Belur,31,0,31,,84.45161290322581,95.25418694,14.7023761,75.7233609,thermal,,,,5,0.0002984148018394592
Benakatti,65,19,46,10.0,112.3913043478261,57.30618832,15.909574999999998,75.064691,thermal,,,,2,0.0
