location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
Udyambag,202,7,195,12.96607956,17.142857142857142,109.49230769230769,15.8204634,74.4840947,185,1.0918918918918918,2.0,100.0,25.91,75.91666666666666,68.05,add_incremental_charging_capacity
Chintamani Substation,27,0,27,43.95044745,,83.11111111111111,13.3822964,78.0665467,9,3.0,9.199999999999998,100.0,38.959999999999994,57.38333333333333,67.98,add_incremental_charging_capacity
Nagamangala,135,2,133,14.99119322,,106.52631578947368,12.834493,76.7592317,84,1.6071428571428572,4.0,100.0,27.3,73.28333333333333,67.88,add_incremental_charging_capacity
Dambal,104,2,102,125.1348627,15.0,110.0,15.3086732,75.7663387,57,1.8245614035087718,5.199999999999996,100.0,29.619999999999983,68.63333333333334,67.53,add_incremental_charging_capacity
Kulgeri Cross,133,51,82,101.794987,16.666666666666668,110.0,15.9194557,75.5078285,96,1.3854166666666667,3.0,100.0,35.39,60.3,67.46,add_incremental_charging_capacity
Basavanakatti,34,13,21,77.23172205,11.538461538461538,110.0,14.8403238,75.524133,18,1.8888888888888888,5.149999999999999,100.0,26.569999999999993,72.48333333333335,67.42,add_incremental_charging_capacity
Mahalingapura,198,2,196,79.29665159,20.0,206.53061224489795,16.405136,75.1052164,143,1.3846153846153846,3.0,100.0,28.34,69.4,67.27,add_incremental_charging_capacity
Khanapur,103,0,103,52.36081502999999,,110.0,16.489281,77.5067236,54,1.9074074074074074,5.0,100.0,28.240000000000002,68.78333333333333,67.08,add_incremental_charging_capacity
Navanagara,80,1,79,74.2836246,10.0,110.0,16.1472387,75.6571827,78,1.0256410256410255,1.0,100.0,10.65,91.85,66.69,add_incremental_charging_capacity
Tyavaagi,75,3,72,119.7284129,12.5,85.25,14.248176999999998,75.8833449,47,1.5957446808510638,4.0,100.0,22.75,74.8,66.66,add_incremental_charging_capacity
Kavoor,154,0,154,11.7635635,,141.42857142857142,12.9256097,74.8605385,89,1.7303370786516854,4.0,94.108508,28.32,76.43333333333334,66.66,add_incremental_charging_capacity
Beguru,95,2,93,94.60232262,,78.65591397849462,11.931674499999998,76.6677906,52,1.8269230769230769,5.0,100.0,28.1,67.28333333333333,66.66,add_incremental_charging_capacity
Ankola,54,23,31,56.67538154,10.434782608695652,110.0,14.692578,74.3194552,45,1.2,2.0,100.0,18.07,81.31666666666666,66.65,add_incremental_charging_capacity
Ramankoppa,33,9,24,68.18759817,11.11111111111111,110.0,15.1630748,75.1447241,18,1.8333333333333333,4.0,100.0,20.89,75.6,66.21,add_incremental_charging_capacity
